Entity,Code,Year,Life expectancy at birth (years),Healthcare expenditure (% of GDP)
Portugal,PRT,2022,81.1936,10.46883
Qatar,QAT,2022,81.8566,2.18112
Romania,ROU,2022,75.2614,5.74901
Russia,RUS,2022,72.5174,6.91986
Rwanda,RWA,2022,67.528,7.87921
Saint Kitts and Nevis,KNA,2022,70.3131,5.56802
Saint Lucia,LCA,2022,72.6699,5.01938
Saint Vincent and the Grenadines,VCT,2022,71.1906,4.68768
Samoa,WSM,2022,71.5503,6.30121
San Marino,SMR,2022,85.7082,7.4065
Sao Tome and Principe,STP,2022,69.2368,7.4642
Saudi Arabia,SAU,2022,77.3098,4.62462
Senegal,SEN,2022,67.7884,4.06358
Serbia,SRB,2022,75.4778,9.65743
Seychelles,SYC,2022,71.2481,4.23752
Sierra Leone,SLE,2022,61.2748,7.94752
Singapore,SGP,2022,82.9211,4.89703
Slovakia,SVK,2022,77.0356,7.73064
Slovenia,SVN,2022,80.7933,9.60508
Solomon Islands,SLB,2022,70.4086,4.82369
Somalia,SOM,2022,53.9315,2.62183
South Africa,ZAF,2022,65.4536,8.77087
South Korea,KOR,2022,82.727,9.43414
South Sudan,SSD,2022,57.2026,6.76126
Spain,ESP,2022,82.3661,9.73829
Sri Lanka,LKA,2022,77.2996,4.3627
Sudan,SDN,2022,65.695,4.61874
Suriname,SUR,2022,73.2538,5.91761
Sweden,SWE,2022,83.046,10.49857
Switzerland,CHE,2022,83.2003,11.70653
Syria,SYR,2022,72.7898,4.15099
Tajikistan,TJK,2022,71.5624,7.62917
Tanzania,TZA,2022,66.8786,3.11196
Thailand,THA,2022,75.2913,5.35471
Togo,TGO,2022,62.2898,6.04134
Tonga,TON,2022,72.6353,8.13608
Trinidad and Tobago,TTO,2022,73.3308,6.43106
Tunisia,TUN,2022,76.0505,6.9638
Turkey,TUR,2022,77.5913,3.70339
Turkmenistan,TKM,2022,69.9133,5.37104
Tuvalu,TUV,2022,66.8516,18.3821
Uganda,UGA,2022,67.6747,4.39089
United Arab Emirates,ARE,2022,80.4868,4.67551
United Kingdom,GBR,2022,81.0744,11.05088
United States,USA,2022,77.9789,16.49614
Uruguay,URY,2022,76.4682,8.94532
Uzbekistan,UZB,2022,72.1465,7.36325
Vanuatu,VUT,2022,71.3016,4.14743
Venezuela,VEN,2022,72.5656,4.55047
Vietnam,VNM,2022,74.5025,4.58892
World,OWID_WRL,2022,72.6398,6.93709
Yemen,YEM,2022,67.9517,6.18667
Zambia,ZMB,2022,65.2791,5.25592
Zimbabwe,ZWE,2022,62.3601,3.62881
